dept_no,dept_name,emp_no,last_name,first_name,from_date,to_date
d005,Development,10066,Schusler,Kwee,1986-02-26,9999-01-01
d005,Development,10076,Ritzmann,Erez,1996-07-15,9999-01-01
d005,Development,10153,Majewski,Heekeun,2000-01-08,9999-01-01
d005,Development,10157,Aloisi,Nigel,1997-12-10,9999-01-01
d007,Sales,10215,Duclos,Xiaobin,1991-11-23,9999-01-01
d005,Development,10258,Ishibashi,Basil,1985-05-17,9999-01-01
d007,Sales,10504,Varker,Xiong,1999-10-19,9999-01-01
d005,Development,10631,Chaudhuri,Inderjeet,1994-10-18,9999-01-01
d005,Development,10653,Feinberg,Otmar,1987-04-30,9999-01-01
d005,Development,10676,Danley,Valeri,1999-09-04,9999-01-01
d005,Development,10702,Szemeredi,Bader,1991-01-14,9999-01-01
d005,Development,10718,Rullman,Adib,1988-07-21,9999-01-01
d007,Sales,10767,Doering,Monique,1997-07-15,9999-01-01
d005,Development,10791,Sgarro,Tadahiko,1988-07-30,9999-01-01
d005,Development,10808,Leijenhorst,Chenxi,1987-03-07,9999-01-01
d007,Sales,10878,Deville,Lakshmi,1997-04-25,9999-01-01
d005,Development,10909,Atchley,Georgi,1993-12-26,9999-01-01
d007,Sales,10924,Atchley,Hironoby,1988-08-14,9999-01-01
d005,Development,10969,Noriega,Premal,1994-05-12,9999-01-01
d005,Development,10974,Papsdorf,Muneo,1999-05-17,9999-01-01
d005,Development,10986,Schiper,Masako,1985-10-11,9999-01-01
d005,Development,10988,Deyuan,Chinya,1985-06-19,9999-01-01
d005,Development,11019,Huttel,Leon,1992-05-24,9999-01-01
d005,Development,11042,Breugel,Gou,1993-06-21,9999-01-01
d007,Sales,11048,Demke,Jaques,1999-05-27,9999-01-01
d005,Development,11106,Iwayama,Aris,1985-08-31,9999-01-01
d005,Development,11121,Kakkad,Vugranam,1992-10-31,9999-01-01
d005,Development,11162,Narlikar,Kauko,1985-03-28,9999-01-01
d005,Development,11207,Gips,Saeed,1999-01-31,9999-01-01
d005,Development,11240,Condotta,Kiam,1989-01-06,9999-01-01
d005,Development,11275,Eppinger,Hitomi,1989-04-25,9999-01-01
d007,Sales,11338,Hanratty,Kwangsub,1998-10-28,9999-01-01
d005,Development,11347,Jonsson,Anneli,1986-04-20,9999-01-01
d005,Development,11380,Pelc,Kenroku,1991-04-19,9999-01-01
d007,Sales,11515,Basawa,Ulf,1998-09-21,9999-01-01
d007,Sales,11537,Pehl,DAIDA,1986-07-06,9999-01-01
d007,Sales,11567,Mitzlaff,Teiji,1988-02-03,9999-01-01
d007,Sales,11615,Isaak,Shem,1991-08-29,9999-01-01
d005,Development,11772,Penz,Gaurav,1999-11-07,9999-01-01
d005,Development,11810,Bhattacharjee,Amabile,1992-01-05,9999-01-01
d007,Sales,11817,Markovitch,Niranjan,1986-04-12,9999-01-01
d005,Development,11832,Zlotek,Arto,1996-02-04,9999-01-01
d005,Development,11844,Demeyer,Shawna,1988-01-27,9999-01-01
d007,Sales,11857,Farrag,Divier,1986-08-27,9999-01-01
d005,Development,11894,Validov,Mitchel,1988-06-22,9999-01-01
d007,Sales,11897,Setlzner,Cordelia,1988-06-16,9999-01-01
d005,Development,11933,Erman,Basil,1987-06-13,9999-01-01
d005,Development,11983,Hedayat,Jaana,1986-10-11,9999-01-01
d007,Sales,12036,Ratzlaff,Mads,1995-07-01,9999-01-01
d005,Development,12069,Burnard,Ayonca,1985-05-13,9999-01-01
d007,Sales,12099,Kuzuoka,Nobuyoshi,1994-02-15,9999-01-01
d005,Development,12159,Perly,Shem,1985-07-17,9999-01-01
d005,Development,12165,Maquelin,Xiaobin,1994-08-29,9999-01-01
d005,Development,12205,Rossi,Sushant,1987-11-11,9999-01-01
d005,Development,12206,Janetzko,Barton,1985-03-27,9999-01-01
d005,Development,12221,Melter,Vincent,1985-09-16,9999-01-01
d005,Development,12249,Sadowski,Eldridge,1987-06-21,9999-01-01
d005,Development,12341,Luga,Rasiah,1985-05-25,9999-01-01
d007,Sales,12373,Driscoll,Mooi,1993-11-11,9999-01-01
d007,Sales,12454,Farris,Kerryn,1998-12-18,9999-01-01
d007,Sales,12497,Penz,Stein,1989-09-25,9999-01-01
d005,Development,12514,Melter,Tomofumi,1999-11-13,9999-01-01
d007,Sales,12541,Nanard,Shih,1988-08-31,9999-01-01
d007,Sales,12651,Bael,Pragnesh,1988-01-27,9999-01-01
d005,Development,12662,Alvarado,Leucio,1985-08-27,9999-01-01
d005,Development,12689,Boudaillier,Luerbio,1992-11-23,9999-01-01
d005,Development,12773,Lovengreen,Jenwei,1985-03-05,9999-01-01
d007,Sales,12798,Beeson,Lillian,1987-12-27,9999-01-01
d005,Development,12879,Eugenio,Baruch,1990-06-11,9999-01-01
d007,Sales,12893,Crouzet,Licheng,1987-03-18,9999-01-01
d005,Development,12905,Gecsei,Munehiro,1987-07-19,9999-01-01
d005,Development,12940,Farrar,Odinaldo,1987-12-12,9999-01-01
d005,Development,12941,Perelgut,Tommaso,1986-11-06,9999-01-01
d005,Development,13047,Chelton,Atilio,1992-02-26,9999-01-01
d005,Development,13076,Skafidas,Deniz,1995-01-28,9999-01-01
d007,Sales,13124,Garnick,Quingbo,1985-03-17,9999-01-01
d007,Sales,13147,Ginesta,Shichao,1993-06-29,9999-01-01
d005,Development,13156,Millington,Akeel,1992-08-18,9999-01-01
d005,Development,13233,Chvatal,Alselm,1987-03-31,9999-01-01
d005,Development,13240,Pileggi,King,1994-03-10,9999-01-01
d005,Development,13302,Alencar,Mack,1990-09-26,9999-01-01
d005,Development,13315,Stroustrup,Sakthirel,1991-06-02,9999-01-01
d007,Sales,13392,Beidas,Fumitake,1988-08-26,9999-01-01
d005,Development,13504,Mandell,Parto,1986-12-21,9999-01-01
d007,Sales,13524,Porotnikoff,Chaoyi,1995-10-28,9999-01-01
d005,Development,13549,Koprowski,Matk,1997-06-18,9999-01-01
d005,Development,13576,Engberts,Jungsoon,1997-02-18,9999-01-01
d007,Sales,13721,Delgrossi,Sugwoo,1995-09-21,9999-01-01
d007,Sales,13769,Trogemann,Yakichi,1988-10-18,9999-01-01
d005,Development,13796,Thorelli,Paloma,1996-01-01,9999-01-01
d005,Development,13859,Fujisawa,Anoosh,1987-08-23,9999-01-01
d005,Development,13934,Bratsberg,Shiv,1990-04-05,9999-01-01
d005,Development,13942,Esteva,Elzbieta,1997-10-13,9999-01-01
d007,Sales,13951,Genther,Mooi,1985-12-28,9999-01-01
d005,Development,13969,Chandrasekhar,Jianwen,1985-05-29,9999-01-01
d005,Development,14005,Stellhorn,Vojin,1996-10-04,9999-01-01
