dept_no,dept_name,emp_no,last_name,first_name,from_date,to_date
d007,Sales,10053,Zschoche,Sanjiv,1994-11-13,9999-01-01
d007,Sales,10215,Duclos,Xiaobin,1991-11-23,9999-01-01
d007,Sales,10355,Cochrane,Satyanarayana,1996-01-26,9999-01-01
d007,Sales,10463,Zaiane,Ung,1994-02-17,9999-01-01
d007,Sales,10504,Varker,Xiong,1999-10-19,9999-01-01
d007,Sales,10767,Doering,Monique,1997-07-15,9999-01-01
d007,Sales,10795,Naudin,Supot,1993-05-03,9999-01-01
d007,Sales,10878,Deville,Lakshmi,1997-04-25,9999-01-01
d007,Sales,10924,Atchley,Hironoby,1988-08-14,9999-01-01
d007,Sales,10965,Braunschweig,Eckart,1986-07-29,9999-01-01
d007,Sales,11009,Axelband,Alper,1986-09-09,9999-01-01
d007,Sales,11048,Demke,Jaques,1999-05-27,9999-01-01
d007,Sales,11146,Masand,Ishfaq,1991-08-22,9999-01-01
d007,Sales,11197,Fordan,Tadahiro,1989-09-12,9999-01-01
d007,Sales,11338,Hanratty,Kwangsub,1998-10-28,9999-01-01
d007,Sales,11441,Aingworth,Marlo,1987-03-27,9999-01-01
d007,Sales,11506,Picel,Rance,1996-04-08,9999-01-01
d007,Sales,11515,Basawa,Ulf,1998-09-21,9999-01-01
d007,Sales,11537,Pehl,DAIDA,1986-07-06,9999-01-01
d007,Sales,11567,Mitzlaff,Teiji,1988-02-03,9999-01-01
d007,Sales,11615,Isaak,Shem,1991-08-29,9999-01-01
d007,Sales,11660,Stenning,Gill,1986-11-22,9999-01-01
d007,Sales,11696,Rothe,Dante,1985-10-23,9999-01-01
d007,Sales,11746,Marrakchi,Koichi,1988-11-17,9999-01-01
d007,Sales,11817,Markovitch,Niranjan,1986-04-12,9999-01-01
d007,Sales,11857,Farrag,Divier,1986-08-27,9999-01-01
d007,Sales,11897,Setlzner,Cordelia,1988-06-16,9999-01-01
d007,Sales,12011,Coorg,Zhilian,1988-07-22,9999-01-01
d007,Sales,12036,Ratzlaff,Mads,1995-07-01,9999-01-01
d007,Sales,12076,Siprelle,Karlis,1985-03-25,9999-01-01
d007,Sales,12082,Yamaashi,Xinan,1986-01-29,9999-01-01
d007,Sales,12099,Kuzuoka,Nobuyoshi,1994-02-15,9999-01-01
d007,Sales,12149,Grandbois,Suebskul,1988-10-01,9999-01-01
d007,Sales,12373,Driscoll,Mooi,1993-11-11,9999-01-01
d007,Sales,12399,Luga,Mihalis,1987-12-07,9999-01-01
